# Boys
# Age , thin , normal , fat
2, 14.7, 18.2, 19.3
3, 14.4, 17.4, 18.3
4, 14, 16.9, 17.8
5, 13.8, 16.8, 17.9
6, 13.7, 17, 18.4
7, 13.7, 17.4, 19.1
8, 13.8, 17.9, 20
9, 14, 18.6, 21.1
10, 14.2, 19.4, 22.1
11, 14.5, 20.2, 23.2
12, 15, 21, 24.2
13, 15.5, 21.8, 25.1
14, 16, 22.6, 26
15, 16.5, 23.4, 26.8
16, 17.1, 24.2, 27.5
17, 17.7, 24.9, 28.2
18, 18.2, 25.6, 28.9
19, 18.7, 26.3, 29.7
20, 19.1, 27, 30.6
# End
