25.0,123.33;0.0,0.0
15.07,117.51;0.0,0.0
40.82,111.65;-0.001282825658,-0.00671625136999
40.72,111.13;-0.001508368064,-0.00677525997
40.28,111.15;-0.001276842522,-0.00670552253999
40.58,110.0;-0.001205972173,-0.0058311224
40.55,110.52;-0.001177980699,-0.00591158867
41.03,110.03;-0.001634860394,-0.00599741936
39.67,106.82;-0.000912541527001,-0.00474214554001
41.03,113.08;-0.001804818798,-0.00726878643
40.88,113.97;-0.001423619544,-0.00661969185001
39.92,111.65;-0.000966828572999,-0.00659823417999
41.12,111.42;-0.001850842515,-0.00709176063999
40.93,112.52;-0.001499546506,-0.00680208206001
41.58,113.53;-0.00192207603,-0.00705420971001
40.45,113.15;-0.001375678626,-0.00717759132
40.52,112.48;-0.00132531061,-0.00689864159
40.4,111.8;-0.001147934174,-0.00681817532001
41.9,114.0;-0.002008345951,-0.00684499741
41.85,113.15;-0.002157762085,-0.00738143920999
41.28,112.62;-0.001640730887,-0.00667870045
40.78,113.18;-0.001523255495,-0.00716149806999
41.37,111.68;-0.001763261739,-0.00686645507999
41.72,110.42;-0.00212210267,-0.00630319119
43.65,111.96;-0.001971785263,-0.0071400404
43.95,116.08;-0.00222066017999,-0.00688791275
42.18,116.48;-0.002138644626,-0.00639975071
44.03,114.97;-0.001866704253,-0.00667870045
44.6,117.58;-0.001630948597,-0.00689864159
45.53,116.97;-0.001773732172,-0.00687181950001
43.85,113.7;-0.001992286429,-0.00733315945
42.47,112.95;-0.001820175546,-0.00700056552999
41.9,115.3;-0.00209618469,-0.00662505627
42.32,115.0;-0.00199508261,-0.00654995441
42.25,116.02;-0.002084656272,-0.0064855814
42.25,113.83;-0.001905974149,-0.00695765018
29.22,119.73;0.002734210674,-0.00480651855
49.58,117.47;-0.001937325557,-0.00821828842
49.33,119.45;-0.002101050265,-0.00783741474
50.45,120.08;-0.001564410724,-0.00752091408
50.8,121.52;-0.00135616807501,-0.00693619251
49.3,120.73;-0.001983398909,-0.0065767765
48.13,123.5;-0.002137479321,-0.00698983669
47.98,122.78;-0.00214012467001,-0.00635683537
48.67,116.82;-0.001750031059,-0.00738143921001
48.22,118.23;-0.001944307559,-0.00751554966
50.58,123.7;-0.00142045012,-0.00739753246
48.47,124.5;-0.002077055173,-0.00693619251
49.13,119.75;-0.001958641695,-0.00735461712
43.63,122.28;-0.002384006071,-0.00555753707999
43.62,121.32;-0.00241935251901,-0.00587940216001
42.97,122.35;-0.002453202352,-0.00561654568
44.13,123.28;-0.002140769396,-0.00617980957
42.72,121.75;-0.002234574226,-0.00560581684
42.85,120.65;-0.002104039726,-0.00540196896
44.55,120.87;-0.001739389377,-0.00561118125999
42.28,118.87;-0.001956662156,-0.00620126724
41.62,119.32;-0.00220560423,-0.00643730164001
43.62,118.02;-0.00230285302401,-0.00687718391001
41.95,118.67;-0.002030709891,-0.00620126724
42.3,119.87;-0.00197984637401,-0.00589549541
42.97,119.0;-0.002225549293,-0.00650167465
43.52,118.65;-0.00216275795,-0.00637829304
43.98,119.35;-0.002238838948,-0.00685572624
43.97,120.05;-0.002262379864,-0.00633001328001
43.28,117.48;-0.00236660291,-0.00702738762
39.83,110.0;-0.001054608347,-0.00574529171
39.83,110.0;-0.001054608347,-0.00574529171
39.68,111.13;-0.001250947413,-0.00664114952001
38.38,109.03;-0.000580318333,-0.00536441803
39.25,109.77;-0.000893139973002,-0.00569701195001
39.12,107.97;-0.000686702913001,-0.00504791737001
38.18,107.43;-0.000666254927999,-0.00534296036
39.83,108.7;-0.000988695800004,-0.00514447689
40.42,110.02;-0.001188432325,-0.005890131
40.78,107.37;-0.001454202002,-0.00556826591
41.12,108.28;-0.001608377034,-0.00530540942999
40.33,106.98;-0.000977372542003,-0.00494062900999
40.88,107.12;-0.001549350853,-0.00544488429999
41.55,108.52;-0.001814577391,-0.00527858734
40.75,108.65;-0.001162263887,-0.00510156154999
40.88,108.52;-0.001358725872,-0.00520884991001
38.85,105.68;-0.000488796204998,-0.00415205956
39.2,101.68;-0.000611094891994,-0.00199019908999
41.9,100.88;-0.001541201536,-0.00166296959
46.07,122.08;-0.002050629981,-0.00620126724
45.4,121.5;-0.002022650816,-0.00607788563001
46.12,122.03;-0.001933506922,-0.00608325005
45.05,121.47;-0.00205409147,-0.00614762306
39.92,116.46;-0.001345327955,-0.00616371632
40.13,117.1;-0.00143142531,-0.00655531883001
40.37,116.85;-0.001164793401,-0.00602960587001
40.13,116.65;-0.00109100311199,-0.00587403774
39.92,116.67;-0.001114937276,-0.00590085982999
40.32,116.62;-0.001087947288,-0.00584185123
39.73,116.33;-0.001291296358,-0.00609934330001
39.72,115.98;-0.001118186928,-0.00601887703
40.47,115.97;-0.001199791253,-0.00608325005
40.22,116.2;-0.001290263087,-0.00615298747999
43.88,125.35;-0.002455262988,-0.00657677650001
43.87,126.57;-0.002212045669,-0.00565946102
44.45,125.15;-0.00217508897499,-0.00665187835999
44.52,125.68;-0.00193534744999,-0.00631928444
44.83,126.55;-0.001925021754,-0.00585794449
44.15,126.83;-0.002124648612,-0.00585794449
43.53,125.68;-0.002395747276,-0.00616371631999
43.87,126.57;-0.002212045669,-0.00565946102
44.4,126.97;-0.00199298572,-0.00594377518
43.75,127.33;-0.002538111963,-0.00628709793
42.97,126.72;-0.002417876933,-0.00573456287
42.93,126.03;-0.002478362774,-0.00607252121
42.93,129.52;-0.002458724792,-0.00693082808999
43.32,129.75;-0.002599204437,-0.00710785389001
42.85,130.35;-0.002611358206,-0.00712931155999
42.98,129.83;-0.002437105824,-0.00693619250998
42.52,129.0;-0.00235246584,-0.00645875930999
42.58,128.3;-0.002397603731,-0.00605642795998
43.35,128.18;-0.002652530419,-0.00624418259
41.49,125.92;-0.002069407876,-0.00560581684
40.88,125.7;0.0,0.0
42.53,125.65;-0.002146532089,-0.00595450400999
42.68,126.03;-0.002397698251,-0.0060403347
42.38,126.8;-0.00227055485,-0.00565946102
41.97,126.4;-0.002508665779,-0.00588476658
42.33,127.27;-0.00231994991,-0.00593304634
41.15,126.17;-0.002148899043,-0.00577747822
41.43,128.17;-0.002385032609,-0.0059813261
43.17,124.37;-0.002597788093,-0.00623345375
43.32,124.33;-0.002548470279,-0.00616908073
43.5,124.82;-0.00240082967,-0.00606179237001
43.33,125.32;-0.002555854759,-0.00640511513001
42.97,125.15;-0.002543478332,-0.00641584396
42.68,125.5;-0.002334602114,-0.00624418259
43.52,123.5;-0.00245060118399,-0.00621199608
45.63,122.82;-0.001958133595,-0.00591695309001
45.5,124.18;-0.002169461063,-0.00654995440999
45.2,124.82;-0.002007119353,-0.00632464886
45.0,124.02;-0.002048300223,-0.00644266605001
44.3,123.97;-0.001954158456,-0.00614762306
44.82,123.13;-0.002123214722,-0.00639438629
45.35,122.75;-0.002035749509,-0.00592231749999
30.67,104.06;0.002417787427,-0.0024998188
30.88,104.32;0.002380287327,-0.00250518322001
30.57,104.94;0.002752849353,-0.00278413296
30.2,103.29;0.002661290154,-0.00206530093999
30.8,103.86;0.00265414094,-0.00211894512
30.82,104.13;0.00232188594,-0.00254273415
26.9,102.15;0.003382320791,-0.00164151192
26.9,101.56;0.003674152367,-0.00145375728999
30.97,103.81;0.00246544409,-0.00222086906
31.04,103.61;0.002555562501,-0.0020223856
30.99,103.94;0.002552304798,-0.00213503838
31.13,104.16;0.002194964642,-0.00251054764
30.99,104.25;0.002391346622,-0.00239253044001
30.42,103.78;0.002669201594,-0.00224232674
30.42,103.47;0.002567428271,-0.00225841999
30.58,103.53;0.002692525502,-0.00209212303
30.63,103.69;0.00265420743,-0.0021725893
31.48,104.73;0.00219140103,-0.00275731087
31.8,104.7;0.002238584339,-0.00269830226999
32.59,105.21;0.002205675482,-0.00344395638001
32.42,104.52;0.002341174049,-0.00255882740001
32.44,105.86;0.002408566487,-0.0036907196
32.25,106.33;0.002168634255,-0.00406622887
32.03,105.45;0.002087461893,-0.00378191471
31.64,105.16;0.002041496372,-0.00343322754
31.1,105.06;0.002172691029,-0.00330984592
31.23,105.35;0.002123839959,-0.00362634659001
30.9,105.31;0.00237518719,-0.00348150729999
30.52,105.58;0.002777373873,-0.00341713428
30.78,105.74;0.00249338148,-0.00371217728001
31.06,104.68;0.002430948949,-0.00259637833
31.13,104.37;0.002153636386,-0.00264465808999
31.32,104.19;0.002167642644,-0.00246226788001
31.64,104.41;0.001991257668,-0.00271975994001
31.89,104.44;0.002054207818,-0.00271975994001
29.59,105.04;0.002607655032,-0.00315427779999
30.3,105.02;0.002603001988,-0.00310599804
30.12,105.3;0.002621688188,-0.00340640545001
29.57,104.7;0.002771476318,-0.00259101390999
29.81,104.85;0.002802103201,-0.00267148018001
30.19,104.6;0.00285167465,-0.00236570835001
30.38,104.53;0.002730458524,-0.00243544579
29.64,105.25;0.002694951405,-0.00328302382999
29.77,104.56;0.002831162769,-0.00235497951999
29.24,104.97;0.002991132875,-0.00282704830001
