active_time,aerobic,calories,distance,steps,speed,time
51,False,2.9470000267,76,108,1.49000000954,1370771520
44,False,2.46399998665,63,88,1.43200004101,1370771580
44,False,2.52500009537,65,90,1.47699999809,1370771640
14,False,0.722000002861,18,27,1.28600001335,1370771700
10,True,0.0,16,22,1.60000002384,1370771940
17,True,0.911000013351,23,33,1.35300004482,1370772000
9,True,0.537999987602,14,19,1.55599999428,1370772420
12,True,0.544000029564,13,20,1.08299994469,1370772480
10,True,0.519999980927,13,19,1.29999995232,1370772660
10,True,0.580999970436,15,21,1.5,1370772720
20,True,0.977999985218,24,36,1.20000004768,1370772840
16,True,0.959999978542,25,34,1.56200003624,1370773080
46,False,2.67199993134,69,95,1.5,1370773260
60,False,3.54600000381,92,127,1.53299999237,1370773320
60,False,3.5759999752,93,127,1.54999995232,1370773380
60,False,3.54600000381,92,126,1.53299999237,1370773440
60,False,3.39299988747,87,121,1.45000004768,1370773500
60,False,3.4849998951,90,126,1.5,1370773560
59,False,3.53299999237,92,126,1.55900001526,1370773620
60,False,3.5759999752,93,127,1.54999995232,1370773680
60,False,3.45399999619,89,124,1.48300004005,1370773740
60,False,3.5150001049,91,125,1.51699995995,1370773800
60,False,3.54600000381,92,126,1.53299999237,1370773860
47,False,2.47000002861,62,90,1.31900000572,1370773920
27,True,1.39999997616,35,51,1.29600000381,1370774040
34,True,1.66900002956,41,62,1.20599997044,1370774100
58,True,2.60500001907,62,97,1.06900000572,1370774160
50,True,2.29299998283,55,86,1.10000002384,1370774220
18,True,0.861999988556,21,32,1.16700005531,1370774280
60,False,2.96600008011,73,109,1.21700000763,1370774340
60,False,2.87400007248,70,107,1.16700005531,1370774400
41,False,1.90799999237,46,71,1.12199997902,1370774460
60,False,3.02699995041,75,113,1.25,1370774520
58,False,2.36100006104,54,89,0.930999994278,1370774580
58,False,2.54399991035,60,95,1.0340000391,1370774640
53,False,2.39100003242,57,89,1.07500004768,1370774700
49,False,2.19000005722,52,82,1.06099998951,1370774760
60,False,2.78299999237,67,104,1.11699998379,1370774820
59,False,2.67899990082,64,100,1.08500003815,1370774880
56,False,2.51999998093,60,94,1.07099997997,1370774940
32,False,1.4620000124,35,55,1.09399998188,1370775000
29,False,1.24199998379,29,46,1.0,1370775060
21,True,1.05200004578,26,39,1.23800003529,1370775180
10,True,0.634999990463,16,22,1.60000002384,1370775360
12,True,0.544000029564,13,20,1.08299994469,1370776500
59,False,2.86199998856,70,106,1.18599998951,1370776560
60,False,3.0569999218,76,112,1.26699995995,1370776620
60,False,2.96600008011,73,109,1.21700000763,1370776680
51,False,2.57999992371,64,95,1.25499999523,1370776740
60,False,3.36299991608,86,124,1.43299996853,1370776800
23,False,1.25999999046,32,45,1.39100003242,1370776860
42,True,2.22600007057,56,81,1.33299994469,1370778000
22,True,1.15600001812,29,42,1.31799995899,1370778060
29,True,1.45500004292,36,54,1.24100005627,1370778180
11,True,0.592999994755,15,21,1.36399996281,1370779020
25,True,1.22300004959,30,45,1.20000004768,1370781840
22,True,1.00300002098,24,37,1.0909999609,1370781900
13,True,0.648000001907,16,24,1.23099994659,1370782320
27,True,1.46099996567,37,53,1.37000000477,1370782380
24,True,1.30200004578,33,48,1.375,1370782500
16,True,0.867999970913,22,31,1.375,1370782560
35,True,1.83399999142,46,68,1.31400001049,1370782620
50,True,2.53800010681,63,93,1.25999999046,1370782680
29,True,0.0,39,56,1.34500002861,1370782740
11,True,0.624000012875,16,23,1.45500004292,1370782800
49,False,2.22000002861,53,83,1.08200001717,1370783700
59,False,2.58699989319,61,97,1.0340000391,1370783760
59,False,2.61800003052,62,98,1.05099999905,1370783820
60,False,2.69099998474,64,101,1.06700003147,1370783880
60,False,2.69099998474,64,101,1.06700003147,1370783940
40,False,1.83500003815,44,68,1.10000002384,1370784000
21,False,1.08200001717,27,39,1.28600001335,1370784060
14,False,0.660000026226,16,25,1.14300000668,1370784120
43,True,2.14599990845,53,79,1.23300004005,1370784180
10,True,0.519999980927,13,19,1.29999995232,1370784360
18,True,0.893000006676,22,33,1.22200000286,1370784420
9,True,0.476999998093,12,18,1.33299994469,1370784480
10,True,0.458999991417,11,17,1.10000002384,1370784660
8,True,0.527999997139,13,18,1.625,1370786280
12,True,0.605000019073,15,23,1.25,1370786820
31,True,1.69400000572,43,63,1.38699996471,1370787000
18,True,0.800999999046,19,30,1.05599999428,1370787060
12,True,0.635999977589,16,23,1.33299994469,1370787240
11,True,0.563000023365,14,21,1.27300000191,1370787780
26,True,1.35699999332,34,49,1.30799996853,1370787840
11,True,0.532000005245,13,19,1.18200004101,1370787900
14,True,0.850000023842,22,30,1.57099997997,1370787960
6,True,0.421000003815,10,14,1.66700005531,1370812980
15,True,0.763999998569,19,28,1.26699995995,1370813220
12,True,0.605000019073,15,22,1.25,1370813700
39,True,2.09699988365,53,76,1.35899996758,1370816340
15,True,0.856000006199,22,31,1.46700000763,1370816460
41,True,2.12199997902,53,78,1.29299998283,1370816700
15,True,0.73400002718,18,27,1.20000004768,1370816760
14,True,0.813000023365,21,29,1.5,1370816940
26,True,1.35699999332,34,51,1.30799996853,1370817180
24,True,1.24100005627,31,45,1.29200005531,1370817360
11,True,0.563000023365,14,21,1.27300000191,1370817720
15,True,0.73400002718,18,27,1.20000004768,1370817840
10,True,0.488999992609,12,18,1.20000004768,1370818020
1,True,0.0430000014603,1,1,1.0,1370818080
20,True,1.16199994087,30,42,1.5,1370818380
15,True,0.856000006199,22,31,1.46700000763,1370818440
32,True,1.79700005054,46,65,1.43799996376,1370818500
23,True,1.22899997234,31,46,1.34800004959,1370818560
43,True,2.26799988747,57,82,1.3259999752,1370818680
